driver,test1_best_s,test2_best_s,test1_gap_s,test2_gap_s,testing_improvement_s,combined_pace_gap_s,team_2026,total_testing_laps,avg_race_pace_s,race_pace_gap_s,team_total_laps,team_reliability_score,driver_team_change,new_team_flag,rookie_flag,barcelona_best_s,barcelona_gap_s,missed_barcelona
ALB,96.793,94.555,3.124,2.563,2.238,2.787,Williams,247,102.845,4.945,498,0.91,0,0,0,,,1
ALO,98.96,96.536,5.291,4.544,2.424,4.843,Aston Martin,120,103.374,5.474,181,0.331,0,0,0,80.795,4.447,0
ANT,93.669,92.803,0.0,0.811,0.866,0.487,Mercedes,167,97.9,0.0,435,0.795,0,0,0,77.081,0.733,0
BEA,95.394,93.487,1.725,1.495,1.907,1.587,Haas F1 Team,219,100.442,2.542,458,0.837,0,0,0,78.423,2.075,0
BOR,96.67,93.755,3.001,1.763,2.915,2.258,Audi,202,100.555,2.655,424,0.775,0,0,0,80.179,3.831,0
BOT,96.824,95.29,3.155,3.298,1.534,3.241,Cadillac,179,102.199,4.299,393,0.718,1,1,0,80.92,4.572,0
COL,95.806,93.818,2.137,1.826,1.988,1.95,Alpine F1 Team,208,100.068,2.168,389,0.711,0,0,0,79.15,2.802,0
GAS,96.723,93.421,3.054,1.429,3.302,2.079,Alpine F1 Team,181,100.789,2.889,389,0.711,0,0,0,77.707,1.359,0
HAD,95.61,94.26,1.941,2.268,1.35,2.137,Red Bull,155,99.704,1.804,424,0.775,1,0,0,78.159,1.811,0
HAM,94.209,93.408,0.54,1.416,0.801,1.066,Ferrari,184,98.872,0.972,419,0.766,0,0,0,76.348,0.0,0
HUL,96.291,93.987,2.622,1.995,2.304,2.246,Audi,222,102.078,4.178,424,0.775,0,0,0,79.87,3.522,0
LAW,96.808,94.532,3.139,2.54,2.276,2.78,RB F1 Team,199,100.598,2.698,450,0.823,0,0,0,78.84,2.492,0
LEC,94.273,91.992,0.604,0.0,2.281,0.242,Ferrari,235,98.524,0.624,419,0.766,0,0,0,76.653,0.305,0
LIN,97.47,94.149,3.801,2.157,3.321,2.815,RB F1 Team,251,100.99,3.09,450,0.823,0,0,1,78.451,2.103,0
NOR,94.669,92.871,1.0,0.879,1.798,0.927,McLaren,231,100.078,2.178,547,1.0,0,0,0,76.594,0.246,0
OCO,95.578,94.201,1.909,2.209,1.377,2.089,Haas F1 Team,239,100.013,2.113,458,0.837,1,0,0,78.393,2.045,0
PER,98.653,95.369,4.984,3.377,3.284,4.02,Cadillac,214,102.284,4.384,393,0.718,1,1,0,81.024,4.676,0
PIA,94.549,92.861,0.88,0.869,1.688,0.873,McLaren,316,101.858,3.958,547,1.0,0,0,0,77.446,1.098,0
RUS,93.918,93.197,0.249,1.205,0.721,0.823,Mercedes,268,98.435,0.535,435,0.795,0,0,0,76.445,0.097,0
SAI,97.234,94.342,3.565,2.35,2.892,2.836,Williams,251,103.288,5.388,498,0.91,0,0,0,,,1
STR,98.165,95.974,4.496,3.982,2.191,4.188,Aston Martin,61,103.57,5.67,181,0.331,0,0,0,,,1
VER,94.798,93.109,1.129,1.117,1.689,1.122,Red Bull,269,98.755,0.855,424,0.775,0,0,0,77.586,1.238,0
